sample,diameter_mm,cold_reduction_percent,bin_lower_um,bin_upper_um,bin_center_um,number_frequency_percent,area_weighted_frequency_percent,number_lognormal_fit_percent_per_bin,area_lognormal_fit_percent_per_bin,hagb_threshold_deg,min_grain_pixels
5.6d,5.6,36,8,10,9,11.998041136141,18.4746376811594,9.26981310709281,19.2915852618338,15,5
5.6d,5.6,36,10,12,11,7.05190989226249,16.2019927536232,5.51738953937007,14.9843191543498,15,5
5.6d,5.6,36,12,14,13,4.26052889324192,13.8079710144928,3.33151436762793,10.4827709473087,15,5
5.6d,5.6,36,14,16,15,2.10577864838394,9.1923309178744,2.05212165380242,6.94158126011103,15,5
5.6d,5.6,36,16,18,17,0.783545543584721,4.25815217391304,1.29099233597884,4.46685322964536,15,5
5.6d,5.6,36,18,20,19,0.39177277179236,2.64070048309179,0.829037030734766,2.83499573042671,15,5
5.6d,5.6,36,20,22,21,0.342801175318315,3.01177536231884,0.542809413533731,1.79025197346024,15,5
5.6d,5.6,36,22,24,23,0,0,0.361869714139741,1.13082775713553,15,5
5.6d,5.6,36,24,26,25,0,0,0.245297970664363,0.716842452549244,15,5
5.6d,5.6,36,26,28,27,0,0,0.168853348679146,0.456958336143067,15,5
5.6d,5.6,36,28,30,29,0,0,0.1178911312742,0.293286610273035,15,5
5.6d,5.6,36,30,32,31,0,0,0.0833945194097384,0.189664450874662,15,5
5.6d,5.6,36,32,34,33,0,0,0.0597109279505889,0.123631060549819,15,5
5.6d,5.6,36,34,36,35,0,0,0.0432361906879087,0.0812438942402866,15,5
5.6d,5.6,36,36,38,37,0,0,0.0316354424479699,0.0538250860174366,15,5
5.25d,5.25,43.75,0,2,1,21.2981744421907,1.01644534910019,15.6647373680495,0.0243915922855586,15,5
5.25d,5.25,43.75,2,4,3,23.1237322515213,4.25155891570547,31.4964877876118,3.99382318152802,15,5
5.25d,5.25,43.75,4,6,5,17.6470588235294,8.80779296307066,20.9288456121032,11.8368319492642,15,5
5.25d,5.25,43.75,6,8,7,13.4381338742394,13.219928273723,12.397985855186,15.5113546949666,15,5
5.25d,5.25,43.75,8,10,9,10.8519269776876,17.4834415689315,7.34971234963139,15.0711688985381,15,5
5.25d,5.25,43.75,10,12,11,6.08519269776876,14.5895124551711,4.46483657865381,12.7832148033905,15,5
5.25d,5.25,43.75,12,14,13,3.39756592292089,11.18122193144,2.79126160798082,10.126121312679,15,5
5.25d,5.25,43.75,14,16,15,1.52129817444219,6.78621046169752,1.79411152366736,7.73838483122844,15,5
5.25d,5.25,43.75,16,18,17,0.709939148073022,4.10681399631676,1.18290312189272,5.803924860654,15,5
5.25d,5.25,43.75,18,20,19,1.06490872210953,7.69280475590449,0.798004378041865,4.31389877937454,15,5
5.25d,5.25,43.75,20,22,21,0.354969574036511,3.14626344867694,0.549529892573566,3.19580729753865,15,5
5.25d,5.25,43.75,22,24,23,0.202839756592292,2.13498756098349,0.385471833989038,2.36789952325964,15,5
5.25d,5.25,43.75,24,26,25,0.050709939148073,0.594811153112985,0.274922105026546,1.75852785984526,15,5
5.25d,5.25,43.75,26,28,27,0.101419878296146,1.46231139543149,0.199043390636541,1.31073369008818,15,5
5.25d,5.25,43.75,28,30,29,0,0,0.146084407851624,0.981319212412298,15,5
5.25d,5.25,43.75,30,32,31,0,0,0.108555818920671,0.738317587604048,15,5
5.25d,5.25,43.75,32,34,33,0.101419878296146,2.10106297050176,0.0815900158187357,0.558373205107858,15,5
5.25d,5.25,43.75,34,36,35,0,0,0.0619659885965081,0.424524480342883,15,5
5.25d,5.25,43.75,36,38,37,0.050709939148073,1.42483280023263,0.0475168622907307,0.324477172384285,15,5
5d,5,48.98,0,2,1,15.8273381294964,0.838966289204286,9.43331497652773,0.00495981898569946,15,5
5d,5,48.98,2,4,3,22.1672661870504,4.29729587068369,31.9681464117794,3.83701595876355,15,5
5d,5,48.98,4,6,5,21.8075539568345,11.8181846408932,23.2595750827345,14.9107330459972,15,5
5d,5,48.98,6,8,7,16.8165467625899,17.7754041911055,13.8761411811521,19.9745936875724,15,5
5d,5,48.98,8,10,9,10.9712230215827,19.0881908198085,8.04661022050574,18.1936089937096,15,5
5d,5,48.98,10,12,11,6.29496402877698,16.3905819668823,4.72302082858184,13.9442890975155,15,5
5d,5,48.98,12,14,13,3.23741007194245,11.5850004502225,2.83696991204641,9.81565078010441,15,5
5d,5,48.98,14,16,15,1.43884892086331,7.13897591465024,1.74770808647216,6.61641380529293,15,5
5d,5,48.98,16,18,17,0.809352517985611,5.00150591654428,1.10343973355306,4.36537391466812,15,5
5d,5,48.98,18,20,19,0.449640287769784,3.59991678646724,0.712802486311898,2.85384959784771,15,5
5d,5,48.98,20,22,21,0,0,0.47022798229737,1.86186135004625,15,5
5d,5,48.98,22,24,23,0.0899280575539568,1.0510365984295,0.316202306779216,1.21735970996444,15,5
5d,5,48.98,24,26,25,0,0,0.216371735207452,0.799762368596281,15,5
5d,5,48.98,26,28,27,0.0899280575539568,1.41494055510878,0.150435683122424,0.528739286711838,15,5
5d,5,48.98,28,30,29,0,0,0.106126773983969,0.352086307294285,15,5
5d,5,48.98,30,32,31,0,0,0.0758750073203992,0.23626176029498,15,5
5d,5,48.98,32,34,33,0,0,0.0549171139179002,0.159797065732157,15,5
5d,5,48.98,34,36,35,0,0,0.0402012481347318,0.108941749582115,15,5
5d,5,48.98,36,38,37,0,0,0.0297390691561808,0.0748583453358024,15,5
