sample,cold_reduction_percent,bin_lower_deg,bin_upper_deg,bin_width_deg,bin_center_deg,pair_count,probability,probability_density_per_degree,cumulative_probability
7d,0,5.8,5.9,0.0999999999999996,5.85,5,7.02260013174398e-06,7.022600131744e-05,0.899787496120014
7d,0,5.9,6,0.0999999999999996,5.95,4,5.61808010539518e-06,5.6180801053952e-05,0.899793114200119
7d,0,6,6.1,0.100000000000001,6.05,13,1.82587603425343e-05,0.000182587603425342,0.899811372960462
7d,0,6.1,6.2,0.0999999999999996,6.15,14,1.96632803688831e-05,0.000196632803688832,0.89983103624083
7d,0,6.2,6.3,0.100000000000001,6.25,25,3.51130006587199e-05,0.000351130006587197,0.899866149241489
7d,0,6.3,6.4,0.0999999999999996,6.35,16,2.24723204215807e-05,0.000224723204215808,0.899888621561911
7d,0,6.4,6.5,0.0999999999999996,6.45,27,3.79220407114175e-05,0.000379220407114176,0.899926543602622
7d,0,6.5,6.6,0.100000000000001,6.55,27,3.79220407114175e-05,0.000379220407114173,0.899964465643334
7d,0,6.6,6.7,0.0999999999999996,6.65,30,4.21356007904639e-05,0.00042135600790464,0.900006601244124
7d,0,6.7,6.8,0.100000000000001,6.75,12,1.68542403161855e-05,0.000168542403161855,0.90002345548444
7d,0,6.8,6.9,0.0999999999999996,6.85,7,9.83164018444157e-06,9.83164018444161e-05,0.900033287124625
7d,0,6.9,7,0.0999999999999996,6.95,12,1.68542403161855e-05,0.000168542403161856,0.900050141364941
7d,0,7,7.1,0.100000000000001,7.05,24,3.37084806323711e-05,0.000337084806323709,0.900083849845573
7d,0,7.1,7.2,0.0999999999999996,7.15,27,3.79220407114175e-05,0.000379220407114176,0.900121771886285
7d,0,7.2,7.3,0.100000000000001,7.25,13,1.82587603425343e-05,0.000182587603425342,0.900140030646627
7d,0,7.3,7.4,0.0999999999999996,7.35,7,9.83164018444157e-06,9.83164018444161e-05,0.900149862286812
7d,0,7.4,7.5,0.0999999999999996,7.45,6,8.42712015809277e-06,8.4271201580928e-05,0.90015828940697
7d,0,7.5,7.6,0.100000000000001,7.55,7,9.83164018444157e-06,9.83164018444152e-05,0.900168121047154
7d,0,7.6,7.7,0.0999999999999996,7.65,21,2.94949205533247e-05,0.000294949205533248,0.900197615967708
7d,0,7.7,7.8,0.100000000000001,7.75,20,2.80904005269759e-05,0.000280904005269758,0.900225706368235
7d,0,7.8,7.9,0.0999999999999996,7.85,32,4.49446408431615e-05,0.000449446408431616,0.900270651009078
7d,0,7.9,8,0.0999999999999996,7.95,32,4.49446408431615e-05,0.000449446408431616,0.900315595649921
7d,0,8,8.1,0.0999999999999996,8.05,25,3.51130006587199e-05,0.0003511300065872,0.90035070865058
7d,0,8.1,8.2,0.100000000000001,8.15,33,4.63491608695103e-05,0.000463491608695096,0.900397057811449
7d,0,8.2,8.3,0.0999999999999996,8.25,33,4.63491608695103e-05,0.000463491608695104,0.900443406972319
7d,0,8.3,8.4,0.0999999999999996,8.35,20,2.80904005269759e-05,0.00028090400526976,0.900471497372846
7d,0,8.4,8.5,0.0999999999999996,8.45,19,2.66858805006271e-05,0.000266858805006272,0.900498183253346
7d,0,8.5,8.6,0.0999999999999996,8.55,33,4.63491608695103e-05,0.000463491608695104,0.900544532414216
7d,0,8.6,8.7,0.100000000000001,8.65,18,2.52813604742783e-05,0.00025281360474278,0.90056981377469
7d,0,8.7,8.8,0.0999999999999996,8.75,18,2.52813604742783e-05,0.000252813604742784,0.900595095135164
7d,0,8.8,8.9,0.0999999999999996,8.85,26,3.65175206850687e-05,0.000365175206850688,0.900631612655849
7d,0,8.9,9,0.0999999999999996,8.95,24,3.37084806323711e-05,0.000337084806323712,0.900665321136482
7d,0,9,9.1,0.0999999999999996,9.05,13,1.82587603425343e-05,0.000182587603425344,0.900683579896824
7d,0,9.1,9.2,0.100000000000001,9.15,24,3.37084806323711e-05,0.000337084806323706,0.900717288377457
7d,0,9.2,9.3,0.0999999999999996,9.25,27,3.79220407114175e-05,0.000379220407114176,0.900755210418168
7d,0,9.3,9.4,0.0999999999999996,9.35,24,3.37084806323711e-05,0.000337084806323712,0.9007889188988
7d,0,9.4,9.5,0.0999999999999996,9.45,25,3.51130006587199e-05,0.0003511300065872,0.900824031899459
7d,0,9.5,9.6,0.100000000000001,9.55,28,3.93265607377663e-05,0.000393265607377657,0.900863358460197
7d,0,9.6,9.7,0.0999999999999996,9.65,23,3.23039606060223e-05,0.000323039606060224,0.900895662420803
7d,0,9.7,9.8,0.0999999999999996,9.75,32,4.49446408431615e-05,0.000449446408431616,0.900940607061646
7d,0,9.8,9.9,0.0999999999999996,9.85,23,3.23039606060223e-05,0.000323039606060224,0.900972911022252
7d,0,9.9,10,0.0999999999999996,9.95,19,2.66858805006271e-05,0.000266858805006272,0.900999596902753
7d,0,10,10.1,0.100000000000001,10.05,30,4.21356007904639e-05,0.000421356007904633,0.901041732503543
7d,0,10.1,10.2,0.0999999999999996,10.15,36,5.05627209485566e-05,0.000505627209485568,0.901092295224492
7d,0,10.2,10.3,0.0999999999999996,10.25,28,3.93265607377663e-05,0.000393265607377664,0.90113162178523
7d,0,10.3,10.4,0.0999999999999996,10.35,22,3.08994405796735e-05,0.000308994405796736,0.901162521225809
7d,0,10.4,10.5,0.0999999999999996,10.45,18,2.52813604742783e-05,0.000252813604742784,0.901187802586284
7d,0,10.5,10.6,0.100000000000001,10.55,10,1.4045200263488e-05,0.000140452002634878,0.901201847786547
7d,0,10.6,10.7,0.0999999999999996,10.65,9,1.26406802371392e-05,0.000126406802371392,0.901214488466784
7d,0,10.7,10.8,0.0999999999999996,10.75,14,1.96632803688831e-05,0.000196632803688832,0.901234151747153
7d,0,10.8,10.9,0.0999999999999996,10.85,8,1.12361602107904e-05,0.000112361602107904,0.901245387907364
7d,0,10.9,11,0.0999999999999996,10.95,22,3.08994405796735e-05,0.000308994405796736,0.901276287347944
7d,0,11,11.1,0.100000000000001,11.05,20,2.80904005269759e-05,0.000280904005269755,0.90130437774847
7d,0,11.1,11.2,0.0999999999999996,11.15,30,4.21356007904639e-05,0.00042135600790464,0.901346513349261
7d,0,11.2,11.3,0.0999999999999996,11.25,33,4.63491608695103e-05,0.000463491608695104,0.901392862510131
7d,0,11.3,11.4,0.0999999999999996,11.35,44,6.1798881159347e-05,0.000617988811593472,0.90145466139129
7d,0,11.4,11.5,0.0999999999999996,11.45,31,4.35401208168127e-05,0.000435401208168128,0.901498201512107
7d,0,11.5,11.6,0.100000000000001,11.55,29,4.07310807641151e-05,0.000407310807641145,0.901538932592871
7d,0,11.6,11.7,0.0999999999999996,11.65,29,4.07310807641151e-05,0.000407310807641152,0.901579663673635
7d,0,11.7,11.8,0.0999999999999996,11.75,25,3.51130006587199e-05,0.0003511300065872,0.901614776674294
7d,0,11.8,11.9,0.0999999999999996,11.85,22,3.08994405796735e-05,0.000308994405796736,0.901645676114873
7d,0,11.9,12,0.0999999999999996,11.95,28,3.93265607377663e-05,0.000393265607377664,0.901685002675611
7d,0,12,12.1,0.100000000000001,12.05,36,5.05627209485566e-05,0.000505627209485559,0.90173556539656
7d,0,12.1,12.2,0.0999999999999996,12.15,26,3.65175206850687e-05,0.000365175206850688,0.901772082917245
7d,0,12.2,12.3,0.0999999999999996,12.25,24,3.37084806323711e-05,0.000337084806323712,0.901805791397877
7d,0,12.3,12.4,0.0999999999999996,12.35,21,2.94949205533247e-05,0.000294949205533248,0.90183528631843
7d,0,12.4,12.5,0.0999999999999996,12.45,30,4.21356007904639e-05,0.00042135600790464,0.901877421919221
7d,0,12.5,12.6,0.100000000000001,12.55,47,6.60124412383934e-05,0.000660124412383925,0.901943434360459
7d,0,12.6,12.7,0.0999999999999996,12.65,47,6.60124412383934e-05,0.000660124412383936,0.902009446801698
7d,0,12.7,12.8,0.0999999999999996,12.75,36,5.05627209485566e-05,0.000505627209485568,0.902060009522646
7d,0,12.8,12.9,0.0999999999999996,12.85,36,5.05627209485566e-05,0.000505627209485568,0.902110572243595
7d,0,12.9,13,0.0999999999999996,12.95,24,3.37084806323711e-05,0.000337084806323712,0.902144280724227
